advertised_date,number_of_bedrooms,rent,floor_area,level,suburb,furnished,tenancy_preference,number_of_bathrooms,point_of_contact,secondary_address,building_number,street_name,street_suffix,prefix,first_name,last_name,gender,phone_number,email
2022-05-18,2,568.0,1100,ground out of 2,canberra,unfurnished,bachelors/family,2,contact owner,02/,1,mcdowell edge,driveway,mr.,robert,jones,m,(08) 8174 5701,georgelopez@example.org
2022-05-13,2,581.0,800,1 out of 3,canberra,semi-furnished,bachelors/family,1,contact owner,667/,6,lewis parkway,viaduct,mrs.,lisa,mcknight,f,(08).5553.7944,robertdorsey@example.net
2022-05-16,2,577.0,1000,1 out of 3,canberra,semi-furnished,bachelors/family,1,contact owner,859/,459,daniel copse,meander,nan,annette,lester,u,(03).6394.3934,rodriguezkaren@example.net
2022-05-09,2,565.0,850,1 out of 2,canberra,unfurnished,bachelors,1,contact owner,flat 54,482,young walkway,firetrail,mrs.,emma,hill,f,+61836311377,johnsonjeremy@example.com
2022-06-21,2,568.0,700,ground out of 4,canberra,unfurnished,bachelors,2,contact agent,flat 11,2,carlson plaza,quadrangle,dr.,robert,wheeler,m,(07)-4696-5284,xwilliams@example.net
2022-06-21,1,562.0,250,1 out of 2,canberra,unfurnished,bachelors,1,contact agent,level 3,656,moody square,artery,dr.,john,norman,m,+61-3-9936-2303,chambersalbert@example.net
2022-06-20,2,568.0,1000,1 out of 3,canberra,semi-furnished,bachelors/family,2,contact owner,86/,1,harrington turn,circle,dr.,james,bryant,m,(07)-5541-1916,christensenlisa@example.org
2022-05-23,3,587.0,1200,1 out of 4,canberra,semi-furnished,bachelors/family,2,contact agent,flat 52,87,hampton brae,state highway,mr.,joseph,bennett,m,0456 056 268,brayannette@example.org
2022-06-07,1,562.0,400,1 out of 1,canberra,unfurnished,bachelors/family,1,contact agent,apt. 603,9,cabrera thoroughfare,circlet,dr.,david,lewis,m,+61 7 7504 0117,francisco73@example.org
2022-05-14,1,564.0,250,1 out of 4,canberra,furnished,bachelors,1,contact owner,03/,9,jones row,concourse,dr.,patrick,clark,m,0488.421.056,dawsonnathan@example.com
2022-05-09,1,562.0,375,1 out of 2,canberra,unfurnished,bachelors/family,1,contact agent,54/,58,matthew street,path,mrs.,mark,shannon,f,+61 420 120 635,joshua62@example.net
2022-05-05,3,566.0,900,ground out of 2,canberra,unfurnished,bachelors,2,contact owner,57/,551,taylor river,roadway,mr.,dr.,john,m,+61-8-3749-4225,bashley@example.net
2022-06-01,3,606.0,1286,1 out of 1,canberra,furnished,bachelors/family,2,contact owner,45/,2,julie rosebowl,state highway,mr.,michael,bell,m,(08)22562456,zbennett@example.net
2022-05-17,2,563.0,600,1 out of 2,canberra,semi-furnished,bachelors/family,1,contact owner,apt. 591,30,davis parade,green,mrs.,amy,mcdowell,f,(07)78867844,bryce59@example.com
2022-06-20,2,568.0,800,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,unit 53,8,cook plaza,place,mrs.,mrs.,kathy,f,93741215,jeffery63@example.net
2022-06-09,2,563.0,660,1 out of 2,canberra,unfurnished,bachelors/family,1,contact owner,unit 63,9,jones close,firetrail,dr.,mary,nguyen,f,(08).3662.1398,bergvanessa@example.com
2022-06-14,2,567.0,400,2 out of 3,canberra,unfurnished,bachelors,2,contact owner,level 0,67,graham brow,alley,miss,alia,shanker,f,0456-702-828,gsimmons@example.com
2022-06-15,1,560.0,300,ground out of 4,canberra,unfurnished,bachelors/family,1,contact owner,apt. 503,682,johnson gap,ramble,mr.,scott,morrison,m,+61.7.8817.4054,lsimmons@example.com
2022-06-15,3,564.0,1600,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,level 8,9,noble fairway,gap,dr.,anna,abbott,f,+61 7 7402 8083,jose26@example.net
2022-05-22,2,564.0,1000,1 out of 1,canberra,unfurnished,bachelors/family,1,contact owner,flat 92,8,katherine retreat,end,mr.,anthony,green,m,0435.433.206,gkoch@example.com
2022-06-18,1,562.0,355,1 out of 1,canberra,semi-furnished,bachelors/family,1,contact agent,unit 68,0,brandon plateau,parklands,nan,jason,meyers,u,+61739543265,karensmith@example.org
2022-06-25,2,563.0,1000,ground out of 3,canberra,semi-furnished,bachelors/family,1,contact owner,suite 777,27,rogers approach,break,miss,stephanie,ray,f,+61-3-3598-9746,shelleyward@example.org
2022-06-22,2,566.0,800,4 out of 5,canberra,unfurnished,bachelors/family,1,contact owner,apt. 355,1,john alley,gates,mr.,jim,delgado,m,(08)-6179-3159,katherine65@example.com
2022-06-25,2,571.0,850,ground out of 2,canberra,unfurnished,bachelors/family,2,contact owner,5/,5,amy path,parkway,mr.,frederick,roth,m,+61.456.914.477,lawrencemcmillan@example.com
2022-05-21,1,565.0,350,ground out of 2,canberra,unfurnished,bachelors/family,1,contact owner,suite 521,663,laura river,trailer,mrs.,rebecca,mccarthy,f,+61.8.7223.8620,lorichristensen@example.net
2022-06-26,2,574.0,900,ground out of 2,canberra,unfurnished,bachelors/family,2,contact owner,suite 378,25,carolyn colonnade,viaduct,mrs.,marie,schroeder,f,+61218011295,sclayton@example.org
2022-06-16,2,563.0,550,1 out of 1,canberra,semi-furnished,bachelors/family,1,contact owner,03/,8,hannah avenue,sound,dr.,laura,melton,f,+61 440 390 465,pjames@example.org
2022-05-10,3,583.0,1100,2 out of 3,canberra,unfurnished,bachelors/family,1,contact owner,09/,8,garcia driveway,quadrant,mrs.,jessica,greer,f,+61 3 9079 0828,michael54@example.net
2022-06-03,2,571.0,800,2 out of 2,canberra,unfurnished,bachelors,1,contact agent,0/,456,harris formation,square,mr.,curtis,shea,m,6401-1379,victoria80@example.net
2022-05-31,2,564.0,630,ground out of 3,canberra,unfurnished,bachelors,1,contact owner,9/,159,melissa pass,heights,mr.,charles,lawson,m,9211 5582,robert16@example.net
2022-06-10,2,582.0,900,1 out of 2,canberra,semi-furnished,bachelors,2,contact owner,unit 38,267,gary frontage,towers,miss,gina,williams,f,(07)21711040,simpsonparker@example.org
2022-06-24,1,568.0,270,1 out of 2,canberra,semi-furnished,bachelors/family,1,contact owner,unit 29,43,crystal rest,promenade,mr.,michael,estes,m,+61-8-3509-8364,knighttina@example.org
2022-05-12,3,571.0,1500,ground out of 2,canberra,furnished,bachelors,2,contact owner,suite 369,327,gary bend,port,mrs.,julia,gonzalez,f,+61.2.0027.7432,lyonsjohn@example.org
2022-06-26,1,562.0,600,2 out of 5,canberra,unfurnished,bachelors/family,1,contact owner,666/,55,wong crossing,causeway,dr.,jason,campbell,m,08.8863.7484,markdaniels@example.net
2022-04-30,2,566.0,700,4 out of 14,canberra,semi-furnished,bachelors/family,1,contact owner,suite 769,83,dawn courtyard,flat,mr.,adam,welch,m,4218 1874,qspencer@example.net
2022-06-06,2,568.0,1300,ground out of 1,canberra,semi-furnished,family,2,contact owner,084/,71,bennett parklands,parklands,nan,angela,robles,u,0430.549.475,zsingh@example.net
2022-05-20,2,561.0,400,3 out of 3,canberra,semi-furnished,bachelors,1,contact owner,unit 54,68,taylor intersection,run,ms.,mary,perkins,f,0230910197,ryan51@example.org
2022-05-12,3,574.0,1068,ground out of 3,canberra,semi-furnished,bachelors/family,2,contact owner,5/,3,julie centre,circuit,mr.,richard,wallace,m,+61-3-8971-6658,diazdavid@example.org
2022-06-22,1,565.0,150,1 out of 1,canberra,furnished,bachelors/family,1,contact owner,suite 832,444,rhodes chase,firetrail,nan,tammie,molina,u,86034369,alexandrafox@example.org
2022-06-25,1,565.0,450,2 out of 2,canberra,unfurnished,bachelors,1,contact owner,apt. 306,58,johnson round,vale,mr.,michael,thompson,m,+61 429 959 662,pramirez@example.org
2022-04-23,2,574.0,1000,ground out of 2,canberra,unfurnished,bachelors/family,2,contact owner,level 8,0,christopher roads,gates,mr.,derek,warren,m,03 5104 7299,smithchad@example.org
